ticker,event_id,event_slug,event_title,event_endDate,event_startDate,market_id,market_slug,target,prob_yes,sort_key,volume,liquidity,lastTradePrice,bestBid,bestAsk
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015920,will-aapl-dip-to-196-in-january,↓ $196,0.013,196.0,500.017611,4314.57734,0.018,0.007,0.019
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015919,will-aapl-dip-to-216-in-january,↓ $216,0.028,216.0,1643.721511,4561.03399,0.033,0.024,0.032
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015918,will-aapl-dip-to-232-in-january,↓ $232,0.063,232.0,2636.371566,4992.29549,0.075,0.051,0.075
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015917,will-aapl-dip-to-244-in-january,↓ $244,0.235,244.0,2869.782784,1631.2677,0.24,0.22,0.25
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015916,will-aapl-dip-to-256-in-january,↓ $256,1.0,256.0,26006.07825,,0.999,0.999,1.0
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015915,will-aapl-dip-to-264-in-january,↓ $264,1.0,264.0,10148.00926,,0.999,0.999,1.0
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015914,will-aapl-dip-to-272-in-january,↓ $272,1.0,272.0,10583.370052,,1.0,0.998,0.999
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015913,will-aapl-reach-280-in-january,↑ $280,0.23,280.0,1349.834838,1245.799,0.23,0.22,0.24
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015912,will-aapl-reach-288-in-january,↑ $288,0.13,288.0,799.048217,2047.8429,0.12,0.12,0.14
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015910,will-aapl-reach-296-in-january,↑ $296,0.065,296.0,1019.650884,2536.7644,0.05,0.05,0.08
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015909,will-aapl-reach-308-in-january,↑ $308,0.031,308.0,1288.584604,2886.61527,0.032,0.023,0.039
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015908,will-aapl-reach-324-in-january,↑ $324,0.019,324.0,441.061918,4376.54701,0.029,0.013,0.025
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015907,will-aapl-reach-340-in-january,↑ $340,0.0165,340.0,460.551816,4613.52431,0.024,0.009,0.024
AAPL,122415,what-price-will-aapl-hit-in-january-2026,What will Apple (AAPL) hit in January 2026?,2026-02-01T04:59:59.999Z,2025-12-25T05:14:17.83036Z,1015906,will-aapl-reach-360-in-january,↑ $360,0.0065,360.0,2736.980226,6742.1193,0.01,0.005,0.008
